Rank,Group,PrimerID,Pair,Target,GeneID,GeneName,Len,Intron.Len,MeltPeak,IsRef,STDcurve,Intercept,Slope,R2,Efficiency,Log.Base,High.Mass,Low.Mass,Unit.Mass,High.Moles,Low.Moles,Unit.Mols,Copy.No.High,Copy.No.Low,Programe,Annealing Tm
38,5,XL045,XL045F/R,DTX25,AT5G17700,DTX25,100,682,78.5,F,T,32.9277,-3.413929,0.9998527,0.9629881,10,1.00E+05,1.00E+00,ag,1.62E+00,1.62E-05,amol,9.74E+05,9.74E+00,XL2STEP_MELT,60
39,5,XL064,XL064F/R,PSP340,AT4G24340,NA,71,138,75.5,F,T,32.50863,-3.270326,0.9972938,1.021994,10,1.00E+05,1.00E+01,ag,2.28E+00,2.28E-04,amol,1.37E+06,1.37E+02,XL2STEP_MELT,60
40,6,XL066,XL066F/R,REV,AT5G60690,REV,95,88,79.5,F,T,28.265,-3.363,0.999,0.983,10,1.00E+05,1.00E+01,ag,1.70E+00,1.70E-04,amol,1.03E+06,1.03E+02,XL2STEP_MELT,60
41,6,XL067,XL067F/R,PHB,AT2G34710,PHB,139,85,81.5,F,T,29.082,-3.38,0.994,0.976,10,1.00E+05,1.00E+00,ag,1.16E+00,1.16E-05,amol,7.01E+05,7.01E+00,XL2STEP_MELT,60
42,6,XL068,XL068F/R,PHV,AT1G30490,PHV,78,92,78,F,T,28.156,-3.569,1,0.906,10,1.00E+05,1.00E+00,ag,2.07E+00,2.07E-05,amol,1.25E+06,1.25E+01,XL2STEP_MELT,60
43,6,XL069,XL069F/R,ATHB15,AT1G52150,ATHB15,139,76,80,F,T,27.742,-3.383,1,0.975,10,1.00E+05,1.00E+00,ag,1.16E+00,1.16E-05,amol,7.01E+05,7.01E+00,XL2STEP_MELT,60
44,7,XL070,XL070F/R,XVE,NA,XVE,,,,F,F,,,,1,,,,,,,,,,XL2STEP_MELT,60
45,7,XL071,XL071F/R,GUS,NA,GUS,74,0,79.5,F,T,37.282,-3.548,0.999,0.913,10,1.00E+08,1.00E+03,ag,14.24,1.24E-04,amol,8.57E+06,85.76,XL2STEP_MELT,60
46,1,XL072,XL072F/R,TDR,AT5G61480,TDR,164,176,78.5,F,T,31.84,-3.233,0.997,1.038,10,1.00E+06,1.00E+01,ag,9.86E+00,9.86E-05,amol,5.94E+06,5.94E+01,XL2STEP_MELT,60
47,1,XL073,XL073F/R,CLE41,AT3G24770,CLE41,79,0,78,F,T,30.908,-3.194,0.999,1.056,10,1.00E+06,1.00E+01,ag,2.05E+01,2.05E-04,amol,1.23E+07,1.23E+02,XL2STEP_MELT,60
48,1,XL074,XL074F/R,CLE44,AT4G13195,CLE44,143,0,75,F,T,32.438,-3.305,1,1.007,10,1.00E+06,1.00E+01,ag,1.13E+01,1.13E-04,amol,6.81E+06,6.81E+01,XL2STEP_MELT,60
49,1,XL075,XL075F/R,ARR7,AT1G19050,ARR7,85,219,75,F,T,31.485,-3.21,0.999,1.049,10,1.00E+06,1.00E+01,ag,1.90E+01,1.90E-04,amol,1.15E+07,1.15E+02,XL2STEP_MELT,60
50,1,XL076,XL076F/R,ARR15,AT1G74890,ARR15,91,208,75.5,F,T,31.384,-3.256,0.999,1.028,10,1.00E+06,1.00E+01,ag,1.78E+01,1.78E-04,amol,1.07E+07,1.07E+02,XL2STEP_MELT,60
51,1,XL072.2,XL072F2/R2,TDR.2,AT5G61480,TDR,60,0,78.5,F,T,30.551,-3.13,0.996,1.087,10,1.00E+06,1.00E+01,ag,2.69E+01,2.69E-04,amol,1.62E+07,1.62E+02,XL2STEP_MELT,60
51,9,,,YFP,NA,YFP,,,,F,F,,,,1,,,,,,,,,,,
52,9,,,IAA7,,IAA7,,,,F,F,,,,1,,,,,,,,,,,
53,9,,,IAA14,,IAA14,,,,F,F,,,,1,,,,,,,,,,,
54,9,,,IAA16,,IAA16,,,,F,F,,,,1,,,,,,,,,,,
